Model,Seed,Accuracy,Precision,Recall,F1 Score,Fit Time,Prediction Time,Status,Error Message
CombinedClassifier,42,0.7540983606557377,0.7537054894817672,0.7540983606557377,0.7536979780679315,0.5635912910074694,0.0063799999916227534,success,
GaussianNB,42,0.7868852459016393,0.7913802221047065,0.7868852459016393,0.7872292568041388,0.00034295799559913576,6.616600148845464e-05,success,
KFCClassifier,42,0.7704918032786885,0.7728891239203243,0.7704918032786885,0.7708627755794234,0.40558074999717064,0.0016539579955860972,success,
KNeighborsClassifier,42,0.7868852459016393,0.7877685132843414,0.7868852459016393,0.7871153293068738,0.0003480840096017346,0.0010460420016897842,success,
Logistic Regression,42,0.7868852459016393,0.7879781420765027,0.7868852459016393,0.785486625694267,0.0014490839967038482,7.38749949960038e-05,success,
Random Forest Classifier,42,0.7377049180327869,0.7373085930462979,0.7377049180327869,0.7367048823172255,0.040359584003454074,0.0024054169916780666,success,
SVC,42,0.7540983606557377,0.7537054894817672,0.7540983606557377,0.7536979780679315,0.0026179590058745816,0.0002683750062715262,success,
CombinedClassifier,52,0.8524590163934426,0.8699453551912568,0.8524590163934426,0.8489942574829168,0.27665087500645313,0.004665792002924718,success,
GaussianNB,52,0.8524590163934426,0.8547540983606557,0.8524590163934426,0.8514907408652618,0.00032441600342281163,5.895800131838769e-05,success,
KFCClassifier,52,0.8032786885245902,0.8221511395441824,0.8032786885245902,0.7975188303057155,0.24838462499610614,0.002122082994901575,success,
KNeighborsClassifier,52,0.8852459016393442,0.8853530483231543,0.8852459016393442,0.8850590564317014,0.0002726660022744909,0.0005188750074012205,success,
Logistic Regression,52,0.7704918032786885,0.7778287286484009,0.7704918032786885,0.7662841530054646,0.0012332500045886263,5.800000508315861e-05,success,
Random Forest Classifier,52,0.7868852459016393,0.7866173791921139,0.7868852459016393,0.7865382476588741,0.03946004201134201,0.002338999998755753,success,
SVC,52,0.819672131147541,0.8345628415300547,0.819672131147541,0.8154374258124539,0.002762332995189354,0.00030566699570044875,success,
CombinedClassifier,62,0.7868852459016393,0.7866173791921139,0.7868852459016393,0.7865382476588741,0.27281850000144914,0.004583499990985729,success,
GaussianNB,62,0.8360655737704918,0.8360655737704918,0.8360655737704918,0.8360655737704918,0.00030583300394937396,5.93330041738227e-05,success,
KFCClassifier,62,0.7868852459016393,0.7879781420765027,0.7868852459016393,0.785486625694267,0.2470772499946179,0.0018262079975102097,success,
KNeighborsClassifier,62,0.8524590163934426,0.8524411586128076,0.8524590163934426,0.8522187868407589,0.00026958300441037863,0.000510042009409517,success,
Logistic Regression,62,0.7868852459016393,0.7920433657200735,0.7868852459016393,0.7839424848674174,0.0012066670024069026,5.904199497308582e-05,success,
Random Forest Classifier,62,0.7868852459016393,0.7879781420765027,0.7868852459016393,0.785486625694267,0.037915749999228865,0.002558624997618608,success,
SVC,62,0.8032786885245902,0.8065278393147246,0.8032786885245902,0.8013330931363719,0.002810167003190145,0.0002690840046852827,success,
CombinedClassifier,72,0.8852459016393442,0.8946243013092245,0.8852459016393442,0.8836613380055325,0.28194895799970254,0.005138333988725208,success,
GaussianNB,72,0.8524590163934426,0.8547540983606557,0.8524590163934426,0.8514907408652618,0.0003484579938231036,6.604098598472774e-05,success,
KFCClassifier,72,0.819672131147541,0.8262370109164572,0.819672131147541,0.8171821025801224,0.26186858299479354,0.0019309999916004017,success,
KNeighborsClassifier,72,0.8360655737704918,0.836642046478112,0.8360655737704918,0.8354405514482659,0.00029508399893529713,0.0005631250096485019,success,
Logistic Regression,72,0.8524590163934426,0.8604306561128408,0.8524590163934426,0.8504217202928274,0.0013085840037092566,7.891599670983851e-05,success,
Random Forest Classifier,72,0.8688524590163934,0.8697531976220501,0.8688524590163934,0.8683524411586129,0.041332082997541875,0.0024577500007580966,success,
SVC,72,0.8524590163934426,0.8547540983606557,0.8524590163934426,0.8514907408652618,0.0030216669983929023,0.0002973749942611903,success,
CombinedClassifier,82,0.7213114754098361,0.7207935997714204,0.7213114754098361,0.7208577084769892,0.2874492090049898,0.004550291007035412,success,
GaussianNB,82,0.7704918032786885,0.7704918032786885,0.7704918032786885,0.7704918032786885,0.000301499996567145,5.699999746866524e-05,success,
KFCClassifier,82,0.7377049180327869,0.7377049180327869,0.7377049180327869,0.7377049180327869,0.2545187910000095,0.002246459000161849,success,
KNeighborsClassifier,82,0.7540983606557377,0.7585404547858277,0.7540983606557377,0.7544952963124677,0.00026929199520964175,0.0004984999977750704,success,
Logistic Regression,82,0.7704918032786885,0.7704197441902361,0.7704918032786885,0.7696167720275724,0.0013100840005790815,6.691701128147542e-05,success,
Random Forest Classifier,82,0.7704918032786885,0.7778287286484009,0.7704918032786885,0.7662841530054646,0.038796042004833,0.0025765829923329875,success,
SVC,82,0.7868852459016393,0.7879781420765027,0.7868852459016393,0.785486625694267,0.0030029580084374174,0.00029279201407916844,success,
